schemaVersion,recordType,source_name,source_url,entityName,employeeCount,collectedAt
1.0,STARTUP,GitHub Organization API,https://github.com/Aikoyori,Aikoyori,,2026-09-05T09:02:45.472144
1.0,STARTUP,GitHub Organization API,https://github.com/AI-Guru,AI-Guru,,2026-09-05T09:02:45.472168
1.0,STARTUP,GitHub Organization API,https://github.com/airwindows,airwindows,,2026-09-05T09:02:45.472191
1.0,STARTUP,GitHub Organization API,https://github.com/aidangomez,aidangomez,,2026-09-05T09:02:45.472214
1.0,STARTUP,GitHub Organization API,https://github.com/aiming-lab,aiming-lab,,2026-09-05T09:02:45.472237
1.0,STARTUP,GitHub Organization API,https://github.com/hyperai,hyperai,,2026-09-05T09:02:45.472262
1.0,STARTUP,GitHub Organization API,https://github.com/sarvamai,sarvamai,,2026-09-05T09:02:45.472287
1.0,STARTUP,GitHub Organization API,https://github.com/AIRI-Institute,AIRI-Institute,,2026-09-05T09:02:45.472311
1.0,STARTUP,GitHub Organization API,https://github.com/coding-ai,coding-ai,,2026-09-05T09:02:45.472338
1.0,STARTUP,GitHub Organization API,https://github.com/aiven,aiven,,2026-09-05T09:02:45.472365
1.0,STARTUP,GitHub Organization API,https://github.com/different-ai,different-ai,,2026-09-05T09:02:45.472389
1.0,STARTUP,GitHub Organization API,https://github.com/OrionStarAI,OrionStarAI,,2026-09-05T09:02:45.472413
1.0,STARTUP,GitHub Organization API,https://github.com/kby-ai,kby-ai,,2026-09-05T09:02:45.472438
1.0,STARTUP,GitHub Organization API,https://github.com/Ai-Thinker-Open,Ai-Thinker-Open,,2026-09-05T09:02:45.472463
1.0,STARTUP,GitHub Organization API,https://github.com/aisingapore,aisingapore,,2026-09-05T09:02:45.472488
1.0,STARTUP,GitHub Organization API,https://github.com/obenjiro,obenjiro,,2026-09-05T09:02:45.472512
1.0,STARTUP,GitHub Organization API,https://github.com/AICodeHunt,AICodeHunt,,2026-09-05T09:02:45.472537
1.0,STARTUP,GitHub Organization API,https://github.com/valeoai,valeoai,,2026-09-05T09:02:45.472561
1.0,STARTUP,GitHub Organization API,https://github.com/AIDotNet,AIDotNet,,2026-09-05T09:02:45.472591
1.0,STARTUP,GitHub Organization API,https://github.com/aishwarya-phatak,aishwarya-phatak,,2026-09-05T09:02:45.472616
1.0,STARTUP,GitHub Organization API,https://github.com/OptimaiNetwork,OptimaiNetwork,,2026-09-05T09:02:45.472641
1.0,STARTUP,GitHub Organization API,https://github.com/airblade,airblade,,2026-09-05T09:02:45.472686
1.0,STARTUP,GitHub Organization API,https://github.com/aimxhaisse,aimxhaisse,,2026-09-05T09:02:45.472722
1.0,STARTUP,GitHub Organization API,https://github.com/agentscope-ai,agentscope-ai,,2026-09-05T09:02:45.472752
1.0,STARTUP,GitHub Organization API,https://github.com/aissat,aissat,,2026-09-05T09:02:45.472781
1.0,STARTUP,GitHub Organization API,https://github.com/aitmouddarkhaoula,aitmouddarkhaoula,,2026-09-05T09:02:45.472809
1.0,STARTUP,GitHub Organization API,https://github.com/protectai,protectai,,2026-09-05T09:02:45.472837
1.0,STARTUP,GitHub Organization API,https://github.com/i-dot-ai,i-dot-ai,,2026-09-05T09:02:45.472864
1.0,STARTUP,GitHub Organization API,https://github.com/Aihong-Sun,Aihong-Sun,,2026-09-05T09:02:45.472893
1.0,STARTUP,GitHub Organization API,https://github.com/AikidoSec,AikidoSec,,2026-09-05T09:02:45.472921
1.0,STARTUP,GitHub Organization API,https://github.com/JarbasAl,JarbasAl,,2026-09-05T09:02:45.472951
1.0,STARTUP,GitHub Organization API,https://github.com/airtower-luna,airtower-luna,,2026-09-05T09:02:45.472997
1.0,STARTUP,GitHub Organization API,https://github.com/AI-God-Dev,AI-God-Dev,,2026-09-05T09:02:45.473027
1.0,STARTUP,GitHub Organization API,https://github.com/tracel-ai,tracel-ai,,2026-09-05T09:02:45.473055
1.0,STARTUP,GitHub Organization API,https://github.com/hyperspaceai,hyperspaceai,,2026-09-05T09:02:45.473086
1.0,STARTUP,GitHub Organization API,https://github.com/aiplanethub,aiplanethub,,2026-09-05T09:02:45.473117
1.0,STARTUP,GitHub Organization API,https://github.com/aimen08,aimen08,,2026-09-05T09:02:45.473147
1.0,STARTUP,GitHub Organization API,https://github.com/AssemblyAI,AssemblyAI,,2026-09-05T09:02:45.473178
1.0,STARTUP,GitHub Organization API,https://github.com/ailabteam,ailabteam,,2026-09-05T09:02:45.473207
1.0,STARTUP,GitHub Organization API,https://github.com/zorost,zorost,,2026-09-05T09:02:45.473238
1.0,STARTUP,GitHub Organization API,https://github.com/ai-dynamo,ai-dynamo,,2026-09-05T09:02:45.473266
1.0,STARTUP,GitHub Organization API,https://github.com/aisayo,aisayo,,2026-09-05T09:02:45.473298
1.0,STARTUP,GitHub Organization API,https://github.com/khoj-ai,khoj-ai,,2026-09-05T09:02:45.473333
1.0,STARTUP,GitHub Organization API,https://github.com/AILab-CVC,AILab-CVC,,2026-09-05T09:02:45.473364
1.0,STARTUP,GitHub Organization API,https://github.com/aircloud,aircloud,,2026-09-05T09:02:45.473393
1.0,STARTUP,GitHub Organization API,https://github.com/Airtable,Airtable,,2026-09-05T09:02:45.473424
1.0,STARTUP,GitHub Organization API,https://github.com/leptonai,leptonai,,2026-09-05T09:02:45.473453
1.0,STARTUP,GitHub Organization API,https://github.com/aiya000,aiya000,,2026-09-05T09:02:45.473482
1.0,STARTUP,GitHub Organization API,https://github.com/airlsyn,airlsyn,,2026-09-05T09:02:45.473510
1.0,STARTUP,GitHub Organization API,https://github.com/aitjcize,aitjcize,,2026-09-05T09:02:45.473552
1.0,STARTUP,GitHub Organization API,https://github.com/aimardcr,aimardcr,,2026-09-05T09:02:45.473583
1.0,STARTUP,GitHub Organization API,https://github.com/Tele-AI,Tele-AI,,2026-09-05T09:02:45.473599
1.0,STARTUP,GitHub Organization API,https://github.com/aivars,aivars,,2026-09-05T09:02:45.473612
1.0,STARTUP,GitHub Organization API,https://github.com/AIFSH,AIFSH,,2026-09-05T09:02:45.473626
1.0,STARTUP,GitHub Organization API,https://github.com/ainilili,ainilili,,2026-09-05T09:02:45.473639
1.0,STARTUP,GitHub Organization API,https://github.com/Raiondesu,Raiondesu,,2026-09-05T09:02:45.473653
1.0,STARTUP,GitHub Organization API,https://github.com/ai-super-dev,ai-super-dev,,2026-09-05T09:02:45.473666
1.0,STARTUP,GitHub Organization API,https://github.com/alan-ai,alan-ai,,2026-09-05T09:02:45.473680
1.0,STARTUP,GitHub Organization API,https://github.com/AI-Hobbyist,AI-Hobbyist,,2026-09-05T09:02:45.473693
1.0,STARTUP,GitHub Organization API,https://github.com/furiosa-ai,furiosa-ai,,2026-09-05T09:02:45.473706
1.0,STARTUP,GitHub Organization API,https://github.com/ai-architect-eng,ai-architect-eng,,2026-09-05T09:02:45.473719
1.0,STARTUP,GitHub Organization API,https://github.com/castai,castai,,2026-09-05T09:02:45.473733
1.0,STARTUP,GitHub Organization API,https://github.com/RobotecAI,RobotecAI,,2026-09-05T09:02:45.473746
1.0,STARTUP,GitHub Organization API,https://github.com/tharhtetsan,tharhtetsan,,2026-09-05T09:02:45.473760
1.0,STARTUP,GitHub Organization API,https://github.com/nearai,nearai,,2026-09-05T09:02:45.473773
1.0,STARTUP,GitHub Organization API,https://github.com/airgap-it,airgap-it,,2026-09-05T09:02:45.473786
1.0,STARTUP,GitHub Organization API,https://github.com/AI-secure,AI-secure,,2026-09-05T09:02:45.473799
1.0,STARTUP,GitHub Organization API,https://github.com/open-gigaai,open-gigaai,,2026-09-05T09:02:45.473812
1.0,STARTUP,GitHub Organization API,https://github.com/vanna-ai,vanna-ai,,2026-09-05T09:02:45.473825
1.0,STARTUP,GitHub Organization API,https://github.com/AirGuanZ,AirGuanZ,,2026-09-05T09:02:47.013818
1.0,STARTUP,GitHub Organization API,https://github.com/AntwerpDesignsIonity,AntwerpDesignsIonity,,2026-09-05T09:02:47.013882
1.0,STARTUP,GitHub Organization API,https://github.com/unit-mesh,unit-mesh,,2026-09-05T09:02:47.013912
1.0,STARTUP,GitHub Organization API,https://github.com/aindilis,aindilis,,2026-09-05T09:02:47.013938
1.0,STARTUP,GitHub Organization API,https://github.com/ptahdunbar,ptahdunbar,,2026-09-05T09:02:47.013964
1.0,STARTUP,GitHub Organization API,https://github.com/abacusai,abacusai,,2026-09-05T09:02:47.013989
1.0,STARTUP,GitHub Organization API,https://github.com/BloopAI,BloopAI,,2026-09-05T09:02:47.014013
1.0,STARTUP,GitHub Organization API,https://github.com/guardrails-ai,guardrails-ai,,2026-09-05T09:02:47.014040
1.0,STARTUP,GitHub Organization API,https://github.com/Airboi,Airboi,,2026-09-05T09:02:47.014065
1.0,STARTUP,GitHub Organization API,https://github.com/ailyanlu1,ailyanlu1,,2026-09-05T09:02:47.014090
1.0,STARTUP,GitHub Organization API,https://github.com/aishwaryamate,aishwaryamate,,2026-09-05T09:02:47.014115
1.0,STARTUP,GitHub Organization API,https://github.com/AI-Hypercomputer,AI-Hypercomputer,,2026-09-05T09:02:47.014139
1.0,STARTUP,GitHub Organization API,https://github.com/aialok,aialok,,2026-09-05T09:02:47.014164
1.0,STARTUP,GitHub Organization API,https://github.com/nod-ai,nod-ai,,2026-09-05T09:02:47.014200
1.0,STARTUP,GitHub Organization API,https://github.com/SourceryAI,SourceryAI,,2026-09-05T09:02:47.014229
1.0,STARTUP,GitHub Organization API,https://github.com/HumeAI,HumeAI,,2026-09-05T09:02:47.014254
1.0,STARTUP,GitHub Organization API,https://github.com/AISCIENCES,AISCIENCES,,2026-09-05T09:02:47.014278
1.0,STARTUP,GitHub Organization API,https://github.com/ai-winter,ai-winter,,2026-09-05T09:02:47.014303
1.0,STARTUP,GitHub Organization API,https://github.com/aigc3d,aigc3d,,2026-09-05T09:02:47.014329
1.0,STARTUP,GitHub Organization API,https://github.com/ai-boost,ai-boost,,2026-09-05T09:02:47.014353
1.0,STARTUP,GitHub Organization API,https://github.com/Aishou,Aishou,,2026-09-05T09:02:47.014378
1.0,STARTUP,GitHub Organization API,https://github.com/instill-ai,instill-ai,,2026-09-05T09:02:47.014403
1.0,STARTUP,GitHub Organization API,https://github.com/3rdsonx,3rdsonx,,2026-09-05T09:02:47.014428
1.0,STARTUP,GitHub Organization API,https://github.com/AIM-IT4,AIM-IT4,,2026-09-05T09:02:47.014452
1.0,STARTUP,GitHub Organization API,https://github.com/aijogja,aijogja,,2026-09-05T09:02:47.014477
1.0,STARTUP,GitHub Organization API,https://github.com/AICP,AICP,,2026-09-05T09:02:47.014502
1.0,STARTUP,GitHub Organization API,https://github.com/lumalabs,lumalabs,,2026-09-05T09:02:47.014527
1.0,STARTUP,GitHub Organization API,https://github.com/materialyzeai,materialyzeai,,2026-09-05T09:02:47.014552
1.0,STARTUP,GitHub Organization API,https://github.com/aim-uofa,aim-uofa,,2026-09-05T09:02:47.014576
1.0,STARTUP,GitHub Organization API,https://github.com/NeonGeckoCom,NeonGeckoCom,,2026-09-05T09:02:47.014600
1.0,STARTUP,GitHub Organization API,https://github.com/Aider-AI,Aider-AI,,2026-09-05T09:02:47.014625
1.0,STARTUP,GitHub Organization API,https://github.com/pollinations,pollinations,,2026-09-05T09:02:47.014650
1.0,STARTUP,GitHub Organization API,https://github.com/hpcaitech,hpcaitech,,2026-09-05T09:02:47.014675
1.0,STARTUP,GitHub Organization API,https://github.com/AI-LLM-Bootcamp,AI-LLM-Bootcamp,,2026-09-05T09:02:47.014705
1.0,STARTUP,GitHub Organization API,https://github.com/markets,markets,,2026-09-05T09:02:47.014730
1.0,STARTUP,GitHub Organization API,https://github.com/aidarnouman,aidarnouman,,2026-09-05T09:02:47.014755
1.0,STARTUP,GitHub Organization API,https://github.com/ai4ce,ai4ce,,2026-09-05T09:02:47.014780
1.0,STARTUP,GitHub Organization API,https://github.com/aivan2798,aivan2798,,2026-09-05T09:02:47.014805
1.0,STARTUP,GitHub Organization API,https://github.com/aimaster-dev,aimaster-dev,,2026-09-05T09:02:47.014830
1.0,STARTUP,GitHub Organization API,https://github.com/airbus-seclab,airbus-seclab,,2026-09-05T09:02:47.014854
1.0,STARTUP,GitHub Organization API,https://github.com/AIGODLIKE,AIGODLIKE,,2026-09-05T09:02:47.014878
1.0,STARTUP,GitHub Organization API,https://github.com/aisstream,aisstream,,2026-09-05T09:02:47.014903
1.0,STARTUP,GitHub Organization API,https://github.com/aixxe,aixxe,,2026-09-05T09:02:47.014928
1.0,STARTUP,GitHub Organization API,https://github.com/aillieo,aillieo,,2026-09-05T09:02:47.014952
1.0,STARTUP,GitHub Organization API,https://github.com/ProfAI,ProfAI,,2026-09-05T09:02:47.014977
1.0,STARTUP,GitHub Organization API,https://github.com/PygmalionAI,PygmalionAI,,2026-09-05T09:02:47.015002
1.0,STARTUP,GitHub Organization API,https://github.com/4strid,4strid,,2026-09-05T09:02:47.015027
1.0,STARTUP,GitHub Organization API,https://github.com/aidenZou,aidenZou,,2026-09-05T09:02:47.015056
1.0,STARTUP,GitHub Organization API,https://github.com/aitikgupta,aitikgupta,,2026-09-05T09:02:47.015082
1.0,STARTUP,GitHub Organization API,https://github.com/neptune-ai,neptune-ai,,2026-09-05T09:02:47.015106
